id,uf,municipio,codigo_ibge,regiao,canal,subcanal,tier,qtd_pontos_estimados,fluxo_diario_estimado,ticket_medio_estimado,faturamento_mensal_estimado,prioridade_expansao,fonte_dado,ano_base,metodologia_aplicada,nivel_confianca
1,PR,Curitiba,4106902,Sul,academia,academia/studio de rede (big-box),premium,375,1100,12.0,4455000.0,100,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
2,BA,Feira de Santana,2910800,Nordeste,academia,academia/studio de rede (big-box),premium,323,1100,12.0,3837240.0,86,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
3,BA,Salvador,2927408,Nordeste,academia,academia/studio de rede (big-box),premium,249,1100,12.0,2958120.0,67,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
4,BA,Salvador,2927408,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,386,4417,7.5,4603050.0,46,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
5,PR,Curitiba,4106902,Sul,supermercado,supermercado/hipermercado grande formato,convencional,391,4417,7.5,4662675.0,46,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
6,SC,Joinville,4209102,Sul,academia,academia/studio de rede (big-box),premium,101,1100,12.0,1199880.0,28,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
7,BA,Feira de Santana,2910800,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,233,4417,7.5,2778525.0,28,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
8,BA,Salvador,2927408,Nordeste,supermercado,supermercado/hipermercado grande formato,premium,97,4417,12.0,1152360.0,27,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
9,PR,Curitiba,4106902,Sul,supermercado,supermercado/hipermercado grande formato,premium,98,4417,12.0,1164240.0,27,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
10,BA,Feira de Santana,2910800,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,216,1325,7.5,2575800.0,26,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
11,BA,Vitória da Conquista,2933307,Nordeste,academia,academia/studio de rede (big-box),premium,88,1100,12.0,1045440.0,24,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
